,employees,name,naf
290560,22,MUSEE GALLIERA,91.02Z
290638,32,SECTEUR D'HOSPITALISATION,86.10Z
291013,22,EHPAD PUBLIC DE DRAVEIL,87.10A
291035,31,MAISON DE RETRAITE EMMA VENTURA,87.10A
291043,41,CHUM - SITE TRINITE,86.10Z
291044,41,CHUM SITE DE MANGOT VULCIN,86.10Z
291045,22,CHUM SITE DE CLARAC,86.10Z
291071,32,CENTRE HOSPITALIER DE NOYON,86.10Z
291121,32,SITE DE LAMBALLE-MEDECINE SSR,86.10Z
291123,22,EHPAD LAMBALLE,87.10A
291132,22,EHPA DU CENTRE HOSPITALIER DE LAMBALLE,87.30A
291134,22,EHPAD DE QUINTIN,87.10A
291214,22,EHPAD SAINTE ANNE,87.10A
291231,22,SCE AIDE DOMICILE PERSONNES AGEES ET HANDICAPEES,88.10A
291264,22,EHPAD JEAN DE LUXEMBOURG,87.10A
291597,22,EHPAD RESIDENCE DU VAL D'OR,87.10A
291603,32,SERVICE D AIDE MENAGERE A DOMICILE,88.10A
291758,22,MAINTIEN A DOMICILE,88.10A
291804,22,EHPAD VINAY,87.10A
292006,22,EHPAD SAINTE ANNE DE SAINT-MIHIEL,87.10A
292047,32,TRANSPORTS PUBLICS URBAINS,49.31Z
292150,32,HOPITAL ST VALERY,86.10Z
292268,22,SERVICE PETITE ENFANCE,88.91A
292321,42,GH NORD - VIENNE - SITE DE CHATELLERAULT,86.10Z
292322,22,GH NORD - VIENNE - SITE DE LOUDUN,86.10Z
292331,22,EHPAD LE VILLAGE-RESIDENCE LES LILAS,87.10A
292335,32,DECHETS COLLECTE TRAITEMENT,38.11Z
292646,32,HOPITAL SAINT JULIEN,86.10Z
292651,32,CONSULTATION ET TRAITEMENT DENTAIRE,86.10Z
292654,41,MATERNITE REGIONALE,86.10Z
292659,52,HOPITAUX DE BRABOIS,86.10Z
292660,41,CENTRE CHIRURGICAL EMILE GALLE,86.10Z
293047,22,ENFANCE JEUNESSE,88.99B
293428,22,GRETA ARDECHE DROME,85.59A
293510,32,IDEF,88.91A
293512,42,HOPITAL DU HASENRAIN,86.10Z
293515,22,MMPA MAISON MEDICALE PERSONNES AGEES,87.10A
293516,51,HOPITAL EMILE MULLER,86.10Z
293524,22,USLD - SITE MMPA,86.10Z
293532,32,HOPITAL DE THANN,86.10Z
293541,32,CENTRE HOSPITALIER D'ALTKIRCH,86.10Z
293545,22,EHPAD LES MAGNOLIAS,87.10A
293546,22,EHPAD DE RIXHEIM,87.10A
293566,22,ESAT ISBERGUES,88.10C
293567,22,ESAT HERSIN COUPIGNY,88.10C
293568,22,ESAT OUTREAU,88.10C
293711,22,EHPAD VITTEAUX,87.10A
293715,31,SITE DE CHATILLON SUR SEINE,86.10Z
293716,22,EHPAD CHATILLON SUR SEINE,87.10A
293721,31,SITE DE MONTBARD,86.10Z
293724,22,EHPAD ALISE SAINTE REINE,87.10A
293730,22,EHPAD DU CH BEAUNE CTRE NICOLAS ROLLIN,87.10A
293744,51,HOPITAL SAINT-LOUIS - LA ROCHELLE,86.10Z
293766,31,USLD,86.10Z
293776,22,CENTRE HOSPITALIER SAINT HONORE SAINT MARTIN DE RE,86.10Z
293887,42,SITE DR JACQUES FRITSCHI,86.10Z
293909,31,SITE DE SAINT MARTIN DU TERTRE,86.10Z
293972,32,EAU,36.00Z
294190,31,SITE HOTEL DIEU,86.10Z
294193,41,SITE AIX LES BAINS,86.10Z
294197,22,CH REINE HORTENSE,86.10Z
294201,22,EHPAD GRAND PORT,87.10A
294203,51,SITE DE CHAMBERY,86.10Z
294453,42,MAISON REGIONALE - CHALONS-EN-CHAMPAGNE,84.11Z
294455,51,MAISON REGIONALE - METZ,84.11Z
294520,22,ASSISTANCES FAMILIALES,88.91A
294556,41,CH HT VAL DE SEVRE MELLOIS - ST MAIXENT L'ECOLE,86.10Z
294579,41,CENTRE HOSPITALIER DE RIBERAC,86.10Z
294612,42,HOPITAL SAINT-ESPRIT,86.10Z
294617,22,EHPAD POMPEYRIE,87.10A
294618,31,SITE DE NERAC,86.10Z
294693,51,UNITE TERRITORIALE DE ROUEN,84.11Z
294697,51,HOTEL DE REGION,84.11Z
294842,51,ALPC-PC,84.11Z
294843,42,ALPC-L1,84.11Z
294853,51,SITE DE MONTPELLIER,84.11Z
295339,51,CT1 (CONSEIL DE TERRITOIRE 1),84.11Z
295341,42,CT2 ( CONSEIL DE TERRITOIRE 2 ),84.11Z
295342,22,CT3 ( CONSEIL DE TERRITOIRE 3 ),84.11Z
295343,32,CT4 ( CONSEIL DE TERRITOIRE 4 ),84.11Z
295345,42,CT5 ( CONSEIL DE TERRITOIRE 5 ),84.11Z
295346,32,CT6 ( CONSEIL DE TERRITOIRE 6 ),84.11Z
295577,52,CHU LA MILETRIE,86.10Z
295678,32,DIRECTION SERVICES SANITAIRES SOCIAUX,88.99B
295732,42,HOPITAL DE SELESTAT,86.10Z
295738,31,HOPITAL D'OBERNAI,86.10Z
296307,31,COMMUNE DELEGUEE D'EQUEURDREVILLE-HAINNEVILLE,84.11Z
296310,31,COMMUNE DELEGUEE DE TOURLAVILLE,84.11Z
296331,41,COMMUNE DELEGUEE DE CHERBOURG-OCTEVILLE,84.11Z
296496,22,ENFANCE-JEUNESSE ET SPORT,88.91A
296632,22,ANNEXE,84.11Z
297140,22,SITE VARENNES EN ARGONNE,87.10A
297142,22,SITE CLERMONT,87.10A
297844,32,HOTEL DE VILLE,84.11Z
298093,41,GRETA DU VAL D OISE,85.59A
298743,41,SITE DE FONTAINEBLEAU,86.10Z
298744,41,SITE DE MONTEREAU,86.10Z
298745,41,SITE DE NEMOURS,86.10Z
298748,22,EHPAD DU PAYS DE FONTAINEBLEAU,87.10A
298760,51,CENTRE HOSPITALIER DE MEAUX,86.10Z
298761,42,CENTRE HOSPITALIER DE COULOMMIERS,86.10Z
298762,51,CENTRE HOSPITALIER DE MARNE LA VALLEE,86.10Z
298775,31,EHPAD CENTRE HOSPITALIER DE JOUARRE,87.10A
299833,22,EHPAD DE SAVERDUN,87.10A
299945,22,PETITE ENFANCE,88.91A
299946,32,SCOLAIRE/PERI-SCOLAIRE/CLSH/RESTAURATION SCOLAIRE,88.91A
300060,22,SCE AIDE A DOMICILE CC DU ROUMOIS NORD,88.10A
300785,32,SERVICES MUTUALISES INFORMATIQUE,84.11Z
301243,32,SERVICE D'AIDE ET D'ACCOMPAGNEMENT A DOMICILE,88.10A
301274,22,SAD CIAS PAYS BASQUE,88.10A
301287,22,SAD,88.10A
301600,32,ORDURES MENAGERES,38.11Z
301771,22,AIDE A DOMICILE,88.10A
301796,22,SERVICE D'AIDE A DOMICILE M22 PRESTATAIRES,88.10A
301869,22,REGIE UBAYE SKI,84.13Z
302015,22,EHPAD CANDE,87.10A
302151,22,EHPAD DE KERSAUDY,87.10A
302188,22,EHPAD MULTISITES MONTAIGU,87.10A
302288,31,SAAD - SITE DE LAMBALLE,88.10A
302437,22,EHPAD YANN D'ARGENT,87.10A
302692,22,ESAT COMMERCIAL LES MAURIERS - PROD COMMERCIALISAT,88.10C
302710,22,CENTRE HOSPITALIER DE THIZY,86.10Z
303511,22,REGIE DES STATIONS DE HAUTE-GARONNE,49.39C
303542,51,ETABLISSEMENT PUBLIC DE SANTE MAISON BLANCHE,70.10Z
303543,32,GROUPE PUBLIC DE SANTE PERRAY VAUCLUSE,70.10Z
304413,22,EHPAD LES PIERRES ETOILEES,87.10A
305831,22,RESIDENCE ROUSSADOU,87.10A
306128,22,SITE DE SAINT-LIZIER,87.10A
311044,22,CENTRE CULTUREL ET DE LOISIRS,90.04Z
316059,41,MAIRIE DE VALLAURIS GOLFE JUAN,84.11Z
321634,31,LE GRAND VEON - CENTRE TECHNIQUE,84.11Z
326310,22,CONSERVATOIRE REGIONAL DE MUSIQUE,85.59B
326316,22,MAIRIE 1ER ET 7EME ARRONDISSEMENTS,84.11Z
326318,22,MAIRIE 4EME ET 5EME ARRONDISSEMENTS,84.11Z
326319,22,MAIRIE 6EME ET 8EME ARRONDISSEMENTS,84.11Z
326320,22,MAIRIES 9EME ET 10EME ARRONDISSEMENTS,84.11Z
326321,22,MAIRIE 11EME ET 12EME ARRONDISSEMENTS,84.11Z
326322,31,MAIRIE 13EME ET 14EME ARRONDISSEMENTS,84.11Z
326323,22,MAIRIE 15EME ET 16EME ARRONDISSEMENTS,84.11Z
326335,22,BATAILLON DES MARINS POMPIERS MARSEILLE,84.25Z
326337,22,DIRECTION DE LA PETITE ENFANCE,88.99B
326340,32,MISSION EMPLOI FORMATION,84.11Z
326352,53,DIRECTION RESSOURCES HUMAINES,84.11Z
326362,31,DIRECTION DE LA JEUNESSE,84.11Z
326371,32,DIRECTION DES BIBLIOTHEQUES,84.12Z
326380,51,SERVICE DE LA VIE SCOLAIRE,84.11Z
333034,22,ATELIERS MUNICIPAUX,84.11Z
334019,31,SERVICES TECHNIQUES,84.11Z
338256,32,CRECHE MUNICIPALE MONTCHAPET,88.91A
338259,22,SERV TECHNIQ DES ESPACES VERTS,84.11Z
338340,22,CONSERVATOIRE NATIONAL REGION J-P RAMEAU,85.59B
338347,22,MUSEE DES BEAUX-ARTS,91.03Z
345514,32,CENTRE TECHNIQUE MUNICIPAL,81.10Z
359111,22,CENTRE CULTUREL MUNICIPAL,84.11Z
359315,22,DEPARTEMENT IMAGE,59.11A
359318,22,MEDIATHEQUE JOSE CABANIS,91.01Z
361118,22,CONSERVATOIRE NAT DE REGION DE MUSIQUE,85.59B
370264,32,MAIRIE SERVICES TECHNIQUES,84.11Z
370267,22,PALAIS DES SPORTS,93.11Z
370281,31,ATELIERS DE LA COMMUNE,84.11Z
371525,22,MAIRIE DE L'ALPE D'HUEZ,84.11Z
379489,22,OPERA THEATRE DE SAINT-ETIENNE,90.04Z
382160,22,CONSERVATOIRE NATIONAL DE REGION,85.59B
383240,22,HALTE-GARDERIE ESPACE BEAUTOUR,88.91A
388694,32,HOTEL DE VILLE/HOTEL D AGGLOMERATION,84.11Z
393558,31,ATELIERS MUNICIPAUX,45.20A
393731,31,CONSERVATOIRE NATL REGION MUSIQUE DANSE,85.59B
405656,22,SERVICES TECHNIQUES MUNICIPAUX,81.10Z
408600,22,ATELIERS MUNICIPAUX,81.10Z
409042,22,JARDINS ET CADRE DE VIE,81.30Z
409926,31,STE MUNICIPALE DE GYMNASTIQUE,85.51Z
409939,22,CONSERVATOIRE A RAYONNEMENT REGIONAL,85.52Z
411221,22,CENTRE SOCIAL LES EPIS,88.91A
411470,22,ECOLE NATIONALE MUSIQUE ART DRAMATIQUE,85.42Z
412010,22,SERVICE DES AFFAIRES SCOLAIRES,84.11Z
417674,22,CENTRE TECHNIQUE MUNICIPAL,84.11Z
425896,22,POLICE MUNICIPALE,84.11Z
425904,22,MAIRIE ANNEXE,84.11Z
425907,22,MAIRIE ANNEXE-,84.11Z
430367,22,SERVICE ESPACES VERTS,81.30Z
430377,22,POLE PREVENTION ET SECURITE,84.12Z
431934,52,MAIRIE CENTRALE TOUS SERVICES,84.11Z
431936,31,OPERA MUNICIPAL DE LYON,90.04Z
432163,22,CLASSE PREPA ECOLE NAT BEAUX-ARTS,85.42Z
432188,31,AUDITORIUM ORCHESTRE NATIONAL LYON  ONL,90.01Z
432237,22,MUSEE DES BEAUX-ARTS DE LYON,90.01Z
432255,51,ANNEXE COMMUNE DE LYON,84.11Z
432887,22,CENTRE CULTUREL CHARLIE CHAPLIN,90.02Z
433098,22,SCE PARKING PAYANT CHASSET VILLARS,52.21Z
441576,32,MAIRIE CHAMONIX - ARGENTIERE,84.11Z
443131,22,ECOLE MATERNELLE,85.10Z
443352,22,ECOLE ELEMENTAIRE PUBLIQUE IVRY EA,85.20Z
443466,22,ECOLE PRIMAIRE D'APPLICATION ECOLE B,85.20Z
443660,32,ATELIER,38.11Z
443668,22,DON PROP-SECT LOGIST-LOCAUX,37.00Z
443683,41,BAT ADMINISTRATIF,84.11Z
443693,22,DIRECTION DE LA VOIRIE,37.00Z
443831,22,MAIRIE 12EME ARR.,84.11Z
443860,22,MAIRIE 11EME ARR.,84.11Z
443875,22,MAIRIE 14EME ARR.,84.11Z
443882,22,MAIRIE 19EME ARR.,84.11Z
443891,22,MAIRIE 18EME ARR.,84.11Z
443900,22,MAIRIE 16EME ARR.,84.11Z
443915,22,MAIRIE 17EME ARR.,84.11Z
443936,22,MAIRIE 13EME ARR.,84.11Z
443953,22,MAIRIE 20EME ARR.,84.11Z
443963,22,MAIRIE 15EME ARR.,84.11Z
444463,22,CONSERV CENTRE,85.52Z
444464,22,CONSERVATOIRE 5E,85.52Z
444466,22,CONSERV 7E,85.52Z
444468,22,CONSERV 9E,85.52Z
444469,22,CONSERV 10E,85.52Z
444470,22,CONSERVATOIRE 11E,85.52Z
444472,31,CONSERV 13E,85.52Z
444473,22,CONSERV 14E,85.52Z
444474,22,CONSERVATOIRE 15E,85.52Z
444475,22,CONSERV 16E,85.52Z
444476,22,CONSERVATOIRE 17E,85.52Z
444477,22,CONSERVATOIRE 18E,85.52Z
444478,22,CONSERV 19E,85.52Z
444479,22,CONSERV 20E,85.52Z
444744,22,LABORATOIRE DE LA VILLE DE PARIS,71.20B
444776,22,BAT ADM,84.11Z
444822,22,CENTRE EDISON,86.21Z
444844,32,CONSERV RAYON. REGION.,85.52Z
444863,22,BA-207 BERCY-V,84.11Z
444866,41,BA-103 AV DE FRANCE-VIL,84.11Z
445164,22,BASE POISSONNIERS,84.24Z
445167,22,BASE NORD,84.24Z
445342,22,SERVICE ACCUEIL FAMILIAL PARISIEN SENS,87.90A
445343,22,SERVICE ACCUEIL FAMILIAL PARISIEN BOURG LA REINE,87.90A
445350,22,CIMETIERE PANTIN,88.91A
445459,22,UNITE GEN-SECT 6-155 RUE DE CHARONNE-VIL,84.24Z
445572,22,SERVICE ACCUEIL FAMILIAL PARISIEN MONTFORT,87.90A
445576,22,ATELIER + SERRES,81.30Z
445577,22,SERVICE ACCUEIL FAMILIAL PARISIEN ENGHIEN,87.90A
445668,22,BAT ADMINISTRATIF-27 RUE DES PETITES ECURIES-VIL,84.11Z
445669,31,BAT ADMINISTRATIF-210 QUAI DE JEMMAPES-VIL,84.11Z
445716,22,ATE-36 TELEGRAPHE-V,38.11Z
445729,32,BAT ADMINISTRATIF-11 RUE DU PRE-VIL,84.11Z
445796,41,BAT ADMINISTRATIF-121 AV DE FRANCE-VIL,84.11Z
445828,22,MAISON ACCUEIL ENFANCE E. ROOSEVELT,84.11Z
445838,22,BAT PETITE ENFANCE-42 RUE DES MARONITES-VIL,88.91A
445880,22,BASE BAUDOYER,84.24Z
445881,32,BASE CHEVALERET,84.24Z
445910,22,BAT ADMINISTRATIF-4 PASSAGE ROUX-VIL,84.11Z
445912,31,BRIGADE-201-203 RUE VAUGIRARD-VIL,84.24Z
445919,41,BAT ADMINISTRATIF - 5 A 11 AV PTE IVRY-VIL,84.11Z
445920,32,BAT ADMINISTRATIF - 6 A 8 AV PORTE IVRY-VIL,84.11Z
445921,22,BRIGADE-25 RUE DE LIEGE-VIL,84.24Z
445922,22,SERVICE ACCUEIL FAMILIAL PARISIEN LE MANS,87.90A
445932,22,UNITE GEN - SECT 1 - 7 BOULEVARD MORLAND - VIL,84.24Z
445933,22,UNITE GEN-SECT 2 - 24-28 RUE MOUSSET ROBERT -VIL,84.24Z
445934,22,UNITE GEN - SECT 3 - 5 RUE DES MORILLONS - VIL,84.24Z
445935,32,UNITE GEN - SECT 5 - 8 RUE BERNARD BUFFET - VIL,84.24Z
445949,31,CONSERVATOIRE-55 RUE JORGE SEMPRUN PARIS 12,85.52Z
445956,22,BAT ADM 88-90 BLD DE SEBASTOPOL-VIL,84.11Z
445958,22,BAT ADM. 13-15 RUE DES SABLONS-VIL,84.11Z
445968,22,CENTRE MICHELET,87.90B
445970,22,ETABLISSEMENT DE L'AIDE SOCIALE A L'ENFANCE DE,87.90A
445973,22,FOYER MELINGUE,87.90A
445980,31,BATIMENT ADMINISTRATIF,84.11Z
446007,31,BAT ADMINISTRATIF 86 RUE REGNAULT,84.11Z
461070,22,DIRECTION DES AFFAIRES CULTURELLES,91.03Z
461071,32,EDUCATION ENSEIGNANTS,84.11Z
461099,31,POLICE MUNICIPALE,84.24Z
461100,41,DIRECTION EDUCATION,84.12Z
461101,41,DIRECTION PERSONNEL SCE ECOLES,84.12Z
461102,22,DIRECTION JEUNESSE,84.12Z
461103,31,DIRECTION PETITE ENFANCE,84.12Z
461106,22,DIRECTION SPORTS ET LOISIRS,84.12Z
474627,22,CENTRE DE VACANCES LE PRIEURE,55.20Z
476503,22,CENTRE DE LOISIRS,93.29Z
478754,22,DIRECTION GENERALE DES SERVICES TECHNIQUES,84.11Z
479822,22,DIRECTION DES SERVICES TECHNIQUES,84.13Z
479918,22,SERVICES TECHNIQUES,84.13Z
479919,22,SERVICES DES CANTINES,56.29B
480333,22,MEDIATHEQUE DE ST PIERRE,91.01Z
480420,22,ENVIRONNEMENT - AMENAGEMENT- CTM,81.30Z
480525,22,SERVICE TECHNIQUE,84.13Z
480536,41,CONSEIL DEPARTEMENTAL DE L AIN . DIPAS.,88.99B
480593,22,MAISON DEPT DE L ENFANCE DE BOURG,87.90A
480640,41,DIR POLITIQ SOCIALE FAMILIALE-AUTONOMIE SOLIDARITE,88.99B
480654,22,UNITE TERRITORIALE D'ACTION SOCIALE SAINT QUENTIN,88.99B
480668,22,DIR DE LA VOIRIE DEP SOISSONS CHATEAU THIERRY,84.11Z
480671,22,LABORATOIRE DEP ANALYSES ET DE RECHERCHE,71.20B
480673,22,ETABLISSEMENT DEP DE L'ENFANCE ET DE LA FAMILLE,87.90A
480679,22,DIRECTION DE LA VOIRIE DEPARTEMENTALE LAON VERVINS,84.11Z
480684,22,CTRE PLANNING FAMILIAL,86.21Z
480689,22,CENTRE SOCIAL,88.99B
480700,32,ANTENNE DU DEPARTEMENT,84.11Z
480701,32,ANTENNE DU CONSEIL DEPARTEMENTAL,84.11Z
480731,22,MAISON TECHNIQUE NORD EST BARCELONNETTE,84.11Z
480732,22,MAISON TECHNIQUE DE CASTELLANE,84.11Z
480887,32,GROUPEMENT DES ASSISTANTES MATERNELLES,88.91A
480898,32,DIRECTION SOLIDARITE DEPARTMENTALE,88.99B
480911,22,GROUP TERRITO EQUIPEMENT SO,84.11Z
480912,22,GROUP TERRITO EQUIPEMENT CTRE,84.11Z
480926,22,MAISON DEPARTEMENTALE ET DE LA FAMILLE,87.90A
480979,22,AIDE DEPT DEVELOP SOCIAL SANTE,88.99B
481057,32,CTRE DE SANTE PMI,86.22C
481079,31,FOYER DE L'ENFANCE,87.90A
481106,32,DIRECTION DEPARTEMENTALE SOLIDARITE,88.99B
481121,32,STRUCTURE ACCUEIL ENFANCE,88.99A
481153,22,SERVICE DEPARTEMENTAL DE PMI,86.22C
481165,32,POLE DES ROUTES ET DES GRANDS TRAVAUX,81.10Z
481181,22,CENTRE MEDICO SOCIAL ST ADRIEN,84.11Z
481344,32,DIRECTION DES MAISONS DE L ENFANCE FAMIL,87.90A
481355,41,DIRECTION ENFANCE FAMILLE SERVICE ACCUEIL FAMILIAL,88.99B
481367,41,DIRECTION DES SERVICES SOCIAUX,88.99B
481373,41,DSS- SERVICE DE L'ENFANCE,88.99B
481401,32,MAISON DEP DE L'ENFANCE ET DE LA FAMILLE,87.90A
481498,32,FOYER DE L'ENFANCE - ANTENNE SAINTES,87.90A
481520,32,FOYER DE L'ENFANCE - LE LOGIS,87.90A
481521,31,CIRCONSCRIPTION ACTION SOCIALE,88.99B
481535,22,CIRCONSCRIPTION D ACTION SOCIALE,88.99B
481617,22,CTRES DEP ENFANCE ET FAMILLE,87.90A
481654,31,DIRECT PREVENTION DEVELOPPEMENT SOCIAL,88.99B
481695,22,CENTRE MEDICO SOCIAL,88.99B
481707,22,DDPAS DIR DEP PREVENTION ACTION SOCIALE,88.99B
481801,22,FOYER DEPARTEMENTAL DE L ENFANCE,87.90A
481850,22,LABORATOIRE DEPARTEMENTAL,71.20B
481852,31,DSF ASSISTANTS FAMILIAUX,88.99B
481870,32,SCE ACTION EDUCATIVE EN MILIEU OUVERT,88.99A
481876,41,DIRECTION ENFANCE FAMILLE,88.99B
481888,22,CENTRE DEPARTEMENTAL DE L ENFANCE ET DE LA FAMILLE,87.90A
481892,22,SCE ACCEUIL ET ACCOMPAGNEMENT FAMILIAL,84.11Z
481908,32,DDSP DIR DEP SOLIDARITE PREV,88.99B
481982,22,DIRECTION DE LA VIE FAMILIALE ET SOCIALE,88.99B
481992,32,MAISONS DU DEPARTEMENT,84.11Z
482002,22,CENTRE DEPARTEMENTAL ENFANCE BELLEVUE,87.90A
482023,32,CTRE PLACEMENT FAMILIAL SOCIO EDUCATIF,88.99A
482068,22,FOYER DEPART DE L ENFANCE,87.90B
482089,32,SERVICE DE PLACEMENT FAMILIAL,88.99A
482106,22,CENTRE DEPARTEMENTAL DE L'ENFANCE,87.90A
482139,22,DIRECTION PREVENTION ACTION SOCIALE,88.99B
482190,22,FOYER DE L ENFANCE STANGALARD,87.90A
482233,41,DIRECTION DES SOLIDARITES,88.99B
482264,22,CENTRE DEPARTEMENTAL D ACTION SOCIALE,88.99B
482265,32,DIRECTION DEVELOPPEMENT SOCIAL SANTE,88.99B
482280,22,CIR.ACTION SOCIALE ET SANTE,86.21Z
482287,22,CIR. ACTION SOCIALE ET SANTE,86.21Z
482339,32,DEF - ASSISTANTS FAMILIAUX,88.99B
482365,22,PARC TECHNIQUE DEPARTEMENTAL,84.13Z
482427,31,D D SOLIDARITE AIDE SOC.ENFANCE,88.99B
482484,41,CENTRE DEP DE L'ENFANCE ET DE LA FAMILLE,87.90A
482541,41,ASSISTANTES MATERNELLES,88.91A
482547,42,ANNEXE DU DEPARTEMENT,84.11Z
482549,41,DIRECTION SOLIDARITE DEPARTEMENTALE,88.99B
482552,32,FOYER DEPARTEMENTAL L'ENFANCE FAMILLE,87.90A
482565,31,ANTENNE TECHNIQUE PARC DEPARTEMENTAL DES ROUTES,84.13Z
482574,22,CDAS PAYS DE BROCELIANDE,88.99B
482583,22,CDAS PAYS DE COMBOURG,88.99B
482589,22,CDAS ST MALO,88.99B
482624,41,DEPARTEMENT ILLE-ET-VILAINE - SERVICES,88.99B
482626,41,DIR DEPART ASSISTANTES MATERNELLES,88.99B
482637,22,CDAS LE BLOSNE FRACISCO FERRER,88.99B
482703,22,DPDS CENTRE COLBERT,88.99B
482712,22,INSTITUT DEPARTEMENTAL ENFANCE & FAMILLE,87.90A
482885,22,DIRECTION SERVICES SOCIAUX DU DEPT DSSD,88.99B
482941,32,DIRECT DEPARTE DE LA SOLIDARITE,88.99B
482944,22,E.P.E.F.40,88.99B
482998,31,DIRECTION PREVENTION ET ACTION SOCIALE,84.11Z
483037,32,ANTENNE DE MONTBRISON,84.11Z
483062,22,DPS SCE PERSONNEL,84.11Z
483064,32,ANTENNE DE ROANNE,84.11Z
483065,22,DIR PROTECTION SOCIALE CONSULT PMI,86.22C
483146,31,DIRECTION PROTECTION SOCIALE,88.99B
483150,32,PVS ASSISTANTS FAMILIAUX,88.99B
483171,22,AIDE SOCIALE ENFANCE (ASSIST MATERNELLES,88.91A
483376,32,DDISS DE LOIRE ATLANTIQUE,88.99B
483408,31,CENTRE MATERNEL FOYER ENFANCE,88.99B
483482,32,DIRECTION GENERALE ADJOINTE SOLIDARITE,84.11Z
483484,31,CENTRE DEPARTEMENTAL ENFANCE FAMILLES,87.90A
483489,22,GRAND PATRIMOINE DE LOIRE-ATLANTIQUE,84.12Z
483613,22,DIR DE LA SOLIDARITE DEPARTEMENTALE,88.99B
483751,51,CONSEIL DEPARTEMENTAL,84.11Z
483755,41,DEVELOPPEMENT SOCIAL ET SOLIDARITES,88.99B
483861,32,MAISON DES SOLIDARITES DE LA MANCHE,88.99B
483879,32,CIRCONSCRIPTION D'ACTION SOCIALE,88.99B
483957,32,DIR DE LA SOLIDARITE DE LA MAYENNE,88.99B
484071,41,RESEAU EDUCATIF MEURTHE ET MOSELLE,87.90A
484218,32,SERVICE DEPART ACTION SOCIALE,88.99B
484220,31,AIDE SOCIALE A L ENFANCE,88.99B
484322,22,LABORATOIRE DEPARTEMENTAL D'ANALYSES,71.20B
484334,32,DGISS,88.99B
484341,32,DIR SOLIDARITE ASSISTANTES MATERNELLES,88.99B
484369,32,DIRECTION DE LA SOLIDARITE DEPARTEMENTAL,88.99B
484391,51,HOTEL DU CONSEIL DEPARTEMENTAL,84.11Z
484416,32,UTPAS D'ARMENTIERES,88.99B
484434,41,UTPAS DE VALENCIENNES,88.99B
484476,22,SECTEUR PREVENTION SANTE 11,86.21Z
484491,41,UTPAS DOUAI-ARLEUX,88.99B
484494,22,UTPAS DOUAI-WAZIERS,88.99B
484528,41,MAISON DU CONSEIL DEPARTEMENTAL,84.11Z
484534,31,SECTEUR D'ACTION TERRITORIALE,88.99B
484557,32,UNITE TERRITORIALE VALENCIENNES,84.13Z
484602,32,UTPAS MAUBEUGE-JEUMONT,88.99B
484608,41,MAISON DU CONSEIL,84.11Z
484609,31,UTPAS DUNKERQUE-HONDSCHOOTE,88.99B
484614,32,SECTEUR PREVENTION SANTE 1 - LILLE,86.21Z
484625,22,UTPAS D'HAUBOURDIN-LA BASSEE,88.99B
484627,32,UTPAS TOURCOING-NEUVILLE,88.99B
484658,22,UTPAS MAUBEUGE-HAUTMONT,88.99B
484660,22,UTPAS DE VILLENEUVE D'ASCQ,88.99B
484661,31,UTPAS AVESNES-FOURMIES,88.99B
484664,41,UTPAS DE ROUBAIX-CROIX WASQUEHAL,88.99B
484674,31,UTPAS DE LILLE FIVES,88.99B
484690,41,C.I.S.S.,88.99B
484694,22,CDEF SITE DE SENLIS,87.90A
484697,22,CDEF SITE DE COMPIEGNE,87.90A
484700,32,DIRECTION INTERVENTION SANITAIRE SOCIALE,88.99B
484712,31,CDEF SITE DE BEAUVAIS,87.90B
484719,22,MAISON ENFANCE CARACT SANIT ARC EN CIEL,86.10Z
484733,32,MISSION ACTION SOCIALE SANTE ORNE-MASSDO,86.21Z
484903,42,SERVICE DES ASSISTANTS FAMILIAUX,87.90B
484930,31,DIRECTION DE LA SOLIDARITE,84.11Z
484941,22,CTRE CIRCONSCRIPTION ACTION SOCIAE,88.99B
484942,22,DIV ROUTIERE DEP CLERMONT LIMAGNE,84.11Z
484943,22,DIV ROUTIERE DEP COMBRAILLES,84.11Z
484945,22,DIV ROUTIERE DEP SANCY,84.11Z
484985,22,SERVICE SOCIAL,88.99B
485031,31,D.S.D.SERVICE ASE ASSMATS,88.99B
485035,41,DELEG SERV ADMIN CONS GENERAL BAYONNE,84.11Z
485052,32,CENTRE MEDICO SOCIAL LAUBADERE,88.99B
485065,32,CENTRE MEDICO SOCIAL DE SOLAZUR,88.99B
485068,32,CENTRE MEDICO SOCIAL TARBES EST,88.99B
485081,22,SERVICE SOCIAL PERPIGNAN-NORD,88.99B
485082,22,SERVICE SOCIAL SUD-OUEST,88.99B
485102,32,INSTITUT DEPART ENFANCE ADOLESCENCE,88.99B
485125,32,FOYER DEPARTEMENT DE L ENFANCE,88.99B
485126,32,DIR SERVICE SOCIAUX SANITAIRES,88.99B
485136,32,ARCHIVES DEPARTEMENTALES,91.01Z
485334,31,SCE DEPART DE LA PROTECTION SOCIALE,88.99B
485409,31,DIRECTION ENFANCE ET FAMILLES,88.99B
485420,32,SCE D'ASSISTANTES MATERNELLES,88.99B
485462,31,SERVICE ENFANCE FAMILLE,88.99B
485530,22,DIR ADJOINTE ENFANCE SCE ACCUEIL FAMILIAL - THIERS,88.99B
485934,41,SCE PLAC FAMILIAL ASSIST MATERNELLES ASE,88.99A
485968,41,CIRCONSCRIPTION DU HAVRE,84.11Z
