,description,naf5,naf4,naf3,naf2
215,"industrie manufacturière fabrication de produits métalliques, à l'exception des machines et des équipements forge, emboutissage, estampage ; métallurgie des poudres forge, emboutissage, estampage ; métallurgie des poudres forge, estampage, matriçage ; métallurgie des poudres",25.50A,25.5,25.5,25.0
216,"industrie manufacturière fabrication de produits métalliques, à l'exception des machines et des équipements forge, emboutissage, estampage ; métallurgie des poudres forge, emboutissage, estampage ; métallurgie des poudres découpage, emboutissage",25.50B,25.5,25.5,25.0
217,"industrie manufacturière fabrication de produits métalliques, à l'exception des machines et des équipements traitement et revêtement des métaux ; usinage traitement et revêtement des métaux traitement et revêtement des métaux",25.61Z,25.61,25.6,25.0
218,"industrie manufacturière fabrication de produits métalliques, à l'exception des machines et des équipements traitement et revêtement des métaux ; usinage usinage décolletage",25.62A,25.62,25.6,25.0
219,"industrie manufacturière fabrication de produits métalliques, à l'exception des machines et des équipements traitement et revêtement des métaux ; usinage usinage mécanique industrielle",25.62B,25.62,25.6,25.0
220,"industrie manufacturière fabrication de produits métalliques, à l'exception des machines et des équipements fabrication de coutellerie, d'outillage et de quincaillerie fabrication de coutellerie fabrication de coutellerie",25.71Z,25.71,25.7,25.0
221,"industrie manufacturière fabrication de produits métalliques, à l'exception des machines et des équipements fabrication de coutellerie, d'outillage et de quincaillerie fabrication de serrures et de ferrures fabrication de serrures et de ferrures",25.72Z,25.72,25.7,25.0
222,"industrie manufacturière fabrication de produits métalliques, à l'exception des machines et des équipements fabrication de coutellerie, d'outillage et de quincaillerie fabrication d'outillage fabrication de moules et modèles",25.73A,25.73,25.7,25.0
223,"industrie manufacturière fabrication de produits métalliques, à l'exception des machines et des équipements fabrication de coutellerie, d'outillage et de quincaillerie fabrication d'outillage fabrication d'autres outillages",25.73B,25.73,25.7,25.0
224,"industrie manufacturière fabrication de produits métalliques, à l'exception des machines et des équipements fabrication d'autres ouvrages en métaux fabrication de fûts et emballages métalliques similaires fabrication de fûts et emballages métalliques similaires",25.91Z,25.91,25.9,25.0
225,"industrie manufacturière fabrication de produits métalliques, à l'exception des machines et des équipements fabrication d'autres ouvrages en métaux fabrication d'emballages métalliques légers fabrication d'emballages métalliques légers",25.92Z,25.92,25.9,25.0
226,"industrie manufacturière fabrication de produits métalliques, à l'exception des machines et des équipements fabrication d'autres ouvrages en métaux fabrication d'articles en fils métalliques, de chaînes et de ressorts fabrication d'articles en fils métalliques, de chaînes et de ressorts",25.93Z,25.93,25.9,25.0
227,"industrie manufacturière fabrication de produits métalliques, à l'exception des machines et des équipements fabrication d'autres ouvrages en métaux fabrication de vis et de boulons fabrication de vis et de boulons",25.94Z,25.94,25.9,25.0
228,"industrie manufacturière fabrication de produits métalliques, à l'exception des machines et des équipements fabrication d'autres ouvrages en métaux fabrication d'autres produits métalliques n.c.a. fabrication d'articles métalliques ménagers",25.99A,25.99,25.9,25.0
229,"industrie manufacturière fabrication de produits métalliques, à l'exception des machines et des équipements fabrication d'autres ouvrages en métaux fabrication d'autres produits métalliques n.c.a. fabrication d'autres articles métalliques",25.99B,25.99,25.9,25.0
230,"industrie manufacturière fabrication de produits informatiques, électroniques et optiques fabrication de composants et cartes électroniques fabrication de composants électroniques fabrication de composants électroniques",26.11Z,26.11,26.1,26.0
231,"industrie manufacturière fabrication de produits informatiques, électroniques et optiques fabrication de composants et cartes électroniques fabrication de cartes électroniques assemblées fabrication de cartes électroniques assemblées",26.12Z,26.12,26.1,26.0
232,"industrie manufacturière fabrication de produits informatiques, électroniques et optiques fabrication d'ordinateurs et d'équipements périphériques fabrication d'ordinateurs et d'équipements périphériques fabrication d'ordinateurs et d'équipements périphériques",26.20Z,26.2,26.2,26.0
233,"industrie manufacturière fabrication de produits informatiques, électroniques et optiques fabrication d'équipements de communication fabrication d'équipements de communication fabrication d'équipements de communication",26.30Z,26.3,26.3,26.0
234,"industrie manufacturière fabrication de produits informatiques, électroniques et optiques fabrication de produits électroniques grand public fabrication de produits électroniques grand public fabrication de produits électroniques grand public",26.40Z,26.4,26.4,26.0
235,"industrie manufacturière fabrication de produits informatiques, électroniques et optiques fabrication d'instruments et d'appareils de mesure, d'essai et de navigation ; horlogerie fabrication d'instruments et d'appareils de mesure, d'essai et de navigation fabrication d'équipements d'aide à la navigation",26.51A,26.51,26.5,26.0
236,"industrie manufacturière fabrication de produits informatiques, électroniques et optiques fabrication d'instruments et d'appareils de mesure, d'essai et de navigation ; horlogerie fabrication d'instruments et d'appareils de mesure, d'essai et de navigation fabrication d'instrumentation scientifique et technique",26.51B,26.51,26.5,26.0
237,"industrie manufacturière fabrication de produits informatiques, électroniques et optiques fabrication d'instruments et d'appareils de mesure, d'essai et de navigation ; horlogerie horlogerie horlogerie",26.52Z,26.52,26.5,26.0
238,"industrie manufacturière fabrication de produits informatiques, électroniques et optiques fabrication d'équipements d'irradiation médicale, d'équipements électromédicaux et électrothérapeutiques fabrication d'équipements d'irradiation médicale, d'équipements électromédicaux et électrothérapeutiques fabrication d'équipements d'irradiation médicale, d'équipements électromédicaux et électrothérapeutiques",26.60Z,26.6,26.6,26.0
239,"industrie manufacturière fabrication de produits informatiques, électroniques et optiques fabrication de matériels optique et photographique fabrication de matériels optique et photographique fabrication de matériels optique et photographique",26.70Z,26.7,26.7,26.0
240,"industrie manufacturière fabrication de produits informatiques, électroniques et optiques fabrication de supports magnétiques et optiques fabrication de supports magnétiques et optiques fabrication de supports magnétiques et optiques",26.80Z,26.8,26.8,26.0
241,"industrie manufacturière fabrication d'équipements électriques fabrication de moteurs, génératrices et transformateurs électriques et de matériel de distribution et de commande électrique fabrication de moteurs, génératrices et transformateurs électriques fabrication de moteurs, génératrices et transformateurs électriques",27.11Z,27.11,27.1,27.0
242,"industrie manufacturière fabrication d'équipements électriques fabrication de moteurs, génératrices et transformateurs électriques et de matériel de distribution et de commande électrique fabrication de matériel de distribution et de commande électrique fabrication de matériel de distribution et de commande électrique",27.12Z,27.12,27.1,27.0
243,industrie manufacturière fabrication d'équipements électriques fabrication de piles et d'accumulateurs électriques fabrication de piles et d'accumulateurs électriques fabrication de piles et d'accumulateurs électriques,27.20Z,27.2,27.2,27.0
244,industrie manufacturière fabrication d'équipements électriques fabrication de fils et câbles et de matériel d'installation électrique fabrication de câbles de fibres optiques fabrication de câbles de fibres optiques,27.31Z,27.31,27.3,27.0
245,industrie manufacturière fabrication d'équipements électriques fabrication de fils et câbles et de matériel d'installation électrique fabrication d'autres fils et câbles électroniques ou électriques fabrication d'autres fils et câbles électroniques ou électriques,27.32Z,27.32,27.3,27.0
246,industrie manufacturière fabrication d'équipements électriques fabrication de fils et câbles et de matériel d'installation électrique fabrication de matériel d'installation électrique fabrication de matériel d'installation électrique,27.33Z,27.33,27.3,27.0
247,industrie manufacturière fabrication d'équipements électriques fabrication d'appareils d'éclairage électrique fabrication d'appareils d'éclairage électrique fabrication d'appareils d'éclairage électrique,27.40Z,27.4,27.4,27.0
248,industrie manufacturière fabrication d'équipements électriques fabrication d'appareils ménagers fabrication d'appareils électroménagers fabrication d'appareils électroménagers,27.51Z,27.51,27.5,27.0
249,industrie manufacturière fabrication d'équipements électriques fabrication d'appareils ménagers fabrication d'appareils ménagers non électriques fabrication d'appareils ménagers non électriques,27.52Z,27.52,27.5,27.0
250,industrie manufacturière fabrication d'équipements électriques fabrication d'autres matériels électriques fabrication d'autres matériels électriques fabrication d'autres matériels électriques,27.90Z,27.9,27.9,27.0
251,"industrie manufacturière fabrication de machines et équipements n.c.a. fabrication de machines d'usage général fabrication de moteurs et turbines, à l'exception des moteurs d'avions et de véhicules fabrication de moteurs et turbines, à l'exception des moteurs d'avions et de véhicules",28.11Z,28.11,28.1,28.0
252,industrie manufacturière fabrication de machines et équipements n.c.a. fabrication de machines d'usage général fabrication d'équipements hydrauliques et pneumatiques fabrication d'équipements hydrauliques et pneumatiques,28.12Z,28.12,28.1,28.0
253,industrie manufacturière fabrication de machines et équipements n.c.a. fabrication de machines d'usage général fabrication d'autres pompes et compresseurs fabrication d'autres pompes et compresseurs,28.13Z,28.13,28.1,28.0
254,industrie manufacturière fabrication de machines et équipements n.c.a. fabrication de machines d'usage général fabrication d'autres articles de robinetterie fabrication d'autres articles de robinetterie,28.14Z,28.14,28.1,28.0
255,industrie manufacturière fabrication de machines et équipements n.c.a. fabrication de machines d'usage général fabrication d'engrenages et d'organes mécaniques de transmission fabrication d'engrenages et d'organes mécaniques de transmission,28.15Z,28.15,28.1,28.0
256,industrie manufacturière fabrication de machines et équipements n.c.a. fabrication d'autres machines d'usage général fabrication de fours et brûleurs fabrication de fours et brûleurs,28.21Z,28.21,28.2,28.0
257,industrie manufacturière fabrication de machines et équipements n.c.a. fabrication d'autres machines d'usage général fabrication de matériel de levage et de manutention fabrication de matériel de levage et de manutention,28.22Z,28.22,28.2,28.0
258,industrie manufacturière fabrication de machines et équipements n.c.a. fabrication d'autres machines d'usage général fabrication de machines et d'équipements de bureau (à l'exception des ordinateurs et équipements périphériques) fabrication de machines et d'équipements de bureau (à l'exception des ordinateurs et équipements périphériques),28.23Z,28.23,28.2,28.0
259,industrie manufacturière fabrication de machines et équipements n.c.a. fabrication d'autres machines d'usage général fabrication d'outillage portatif à moteur incorporé fabrication d'outillage portatif à moteur incorporé,28.24Z,28.24,28.2,28.0
260,industrie manufacturière fabrication de machines et équipements n.c.a. fabrication d'autres machines d'usage général fabrication d'équipements aérauliques et frigorifiques industriels fabrication d'équipements aérauliques et frigorifiques industriels,28.25Z,28.25,28.2,28.0
261,"industrie manufacturière fabrication de machines et équipements n.c.a. fabrication d'autres machines d'usage général fabrication de machines diverses d'usage général fabrication d'équipements d'emballage, de conditionnement et de pesage",28.29A,28.29,28.2,28.0
262,industrie manufacturière fabrication de machines et équipements n.c.a. fabrication d'autres machines d'usage général fabrication de machines diverses d'usage général fabrication d'autres machines d'usage général,28.29B,28.29,28.2,28.0
263,industrie manufacturière fabrication de machines et équipements n.c.a. fabrication de machines agricoles et forestières fabrication de machines agricoles et forestières fabrication de machines agricoles et forestières,28.30Z,28.3,28.3,28.0
264,industrie manufacturière fabrication de machines et équipements n.c.a. fabrication de machines de formage des métaux et de machines-outils fabrication de machines de formage des métaux fabrication de machines-outils pour le travail des métaux,28.41Z,28.41,28.4,28.0
265,industrie manufacturière fabrication de machines et équipements n.c.a. fabrication de machines de formage des métaux et de machines-outils fabrication d'autres machines-outils fabrication d'autres machines-outils,28.49Z,28.49,28.4,28.0
266,industrie manufacturière fabrication de machines et équipements n.c.a. fabrication d'autres machines d'usage spécifique fabrication de machines pour la métallurgie fabrication de machines pour la métallurgie,28.91Z,28.91,28.9,28.0
267,industrie manufacturière fabrication de machines et équipements n.c.a. fabrication d'autres machines d'usage spécifique fabrication de machines pour l'extraction ou la construction fabrication de machines pour l'extraction ou la construction,28.92Z,28.92,28.9,28.0
268,industrie manufacturière fabrication de machines et équipements n.c.a. fabrication d'autres machines d'usage spécifique fabrication de machines pour l'industrie agro-alimentaire fabrication de machines pour l'industrie agro-alimentaire,28.93Z,28.93,28.9,28.0
269,industrie manufacturière fabrication de machines et équipements n.c.a. fabrication d'autres machines d'usage spécifique fabrication de machines pour les industries textiles fabrication de machines pour les industries textiles,28.94Z,28.94,28.9,28.0
270,industrie manufacturière fabrication de machines et équipements n.c.a. fabrication d'autres machines d'usage spécifique fabrication de machines pour les industries du papier et du carton fabrication de machines pour les industries du papier et du carton,28.95Z,28.95,28.9,28.0
271,industrie manufacturière fabrication de machines et équipements n.c.a. fabrication d'autres machines d'usage spécifique fabrication de machines pour le travail du caoutchouc ou des plastiques fabrication de machines pour le travail du caoutchouc ou des plastiques,28.96Z,28.96,28.9,28.0
272,industrie manufacturière fabrication de machines et équipements n.c.a. fabrication d'autres machines d'usage spécifique fabrication d'autres machines d'usage spécifique n.c.a. fabrication de machines d'imprimerie,28.99A,28.99,28.9,28.0
273,industrie manufacturière fabrication de machines et équipements n.c.a. fabrication d'autres machines d'usage spécifique fabrication d'autres machines d'usage spécifique n.c.a. fabrication d'autres machines spécialisées,28.99B,28.99,28.9,28.0
274,industrie manufacturière industrie automobile construction de véhicules automobiles construction de véhicules automobiles construction de véhicules automobiles,29.10Z,29.1,29.1,29.0
275,industrie manufacturière industrie automobile fabrication de carrosseries et remorques fabrication de carrosseries et remorques fabrication de carrosseries et remorques,29.20Z,29.2,29.2,29.0
276,industrie manufacturière industrie automobile fabrication d'équipements automobiles fabrication d'équipements électriques et électroniques automobiles fabrication d'équipements électriques et électroniques automobiles,29.31Z,29.31,29.3,29.0
277,industrie manufacturière industrie automobile fabrication d'équipements automobiles fabrication d'autres équipements automobiles fabrication d'autres équipements automobiles,29.32Z,29.32,29.3,29.0
278,industrie manufacturière fabrication d'autres matériels de transport construction navale construction de navires et de structures flottantes construction de navires et de structures flottantes,30.11Z,30.11,30.1,30.0
279,industrie manufacturière fabrication d'autres matériels de transport construction navale construction de bateaux de plaisance construction de bateaux de plaisance,30.12Z,30.12,30.1,30.0
280,industrie manufacturière fabrication d'autres matériels de transport construction de locomotives et d'autre matériel ferroviaire roulant construction de locomotives et d'autre matériel ferroviaire roulant construction de locomotives et d'autre matériel ferroviaire roulant,30.20Z,30.2,30.2,30.0
281,industrie manufacturière fabrication d'autres matériels de transport construction aéronautique et spatiale construction aéronautique et spatiale construction aéronautique et spatiale,30.30Z,30.3,30.3,30.0
282,industrie manufacturière fabrication d'autres matériels de transport construction de véhicules militaires de combat construction de véhicules militaires de combat construction de véhicules militaires de combat,30.40Z,30.4,30.4,30.0
283,industrie manufacturière fabrication d'autres matériels de transport fabrication de matériels de transport n.c.a. fabrication de motocycles fabrication de motocycles,30.91Z,30.91,30.9,30.0
284,industrie manufacturière fabrication d'autres matériels de transport fabrication de matériels de transport n.c.a. fabrication de bicyclettes et de véhicules pour invalides fabrication de bicyclettes et de véhicules pour invalides,30.92Z,30.92,30.9,30.0
285,industrie manufacturière fabrication d'autres matériels de transport fabrication de matériels de transport n.c.a. fabrication d'autres équipements de transport n.c.a. fabrication d'autres équipements de transport n.c.a.,30.99Z,30.99,30.9,30.0
286,industrie manufacturière fabrication de meubles fabrication de meubles fabrication de meubles de bureau et de magasin fabrication de meubles de bureau et de magasin,31.01Z,31.01,31.0,31.0
287,industrie manufacturière fabrication de meubles fabrication de meubles fabrication de meubles de cuisine fabrication de meubles de cuisine,31.02Z,31.02,31.0,31.0
288,industrie manufacturière fabrication de meubles fabrication de meubles fabrication de matelas fabrication de matelas,31.03Z,31.03,31.0,31.0
289,industrie manufacturière fabrication de meubles fabrication de meubles fabrication d'autres meubles fabrication de sièges d'ameublement d'intérieur,31.09A,31.09,31.0,31.0
290,industrie manufacturière fabrication de meubles fabrication de meubles fabrication d'autres meubles fabrication d'autres meubles et industries connexes de l'ameublement,31.09B,31.09,31.0,31.0
291,"industrie manufacturière autres industries manufacturières fabrication d'articles de joaillerie, bijouterie et articles similaires frappe de monnaie frappe de monnaie",32.11Z,32.11,32.1,32.0
292,"industrie manufacturière autres industries manufacturières fabrication d'articles de joaillerie, bijouterie et articles similaires fabrication d'articles de joaillerie et bijouterie fabrication d'articles de joaillerie et bijouterie",32.12Z,32.12,32.1,32.0
293,"industrie manufacturière autres industries manufacturières fabrication d'articles de joaillerie, bijouterie et articles similaires fabrication d'articles de bijouterie fantaisie et articles similaires fabrication d'articles de bijouterie fantaisie et articles similaires",32.13Z,32.13,32.1,32.0
294,industrie manufacturière autres industries manufacturières fabrication d'instruments de musique fabrication d'instruments de musique fabrication d'instruments de musique,32.20Z,32.2,32.2,32.0
295,industrie manufacturière autres industries manufacturières fabrication d'articles de sport fabrication d'articles de sport fabrication d'articles de sport,32.30Z,32.3,32.3,32.0
296,industrie manufacturière autres industries manufacturières fabrication de jeux et jouets fabrication de jeux et jouets fabrication de jeux et jouets,32.40Z,32.4,32.4,32.0
297,industrie manufacturière autres industries manufacturières fabrication d'instruments et de fournitures à usage médical et dentaire fabrication d'instruments et de fournitures à usage médical et dentaire fabrication de matériel médico-chirurgical et dentaire,32.50A,32.5,32.5,32.0
298,industrie manufacturière autres industries manufacturières fabrication d'instruments et de fournitures à usage médical et dentaire fabrication d'instruments et de fournitures à usage médical et dentaire fabrication de lunettes,32.50B,32.5,32.5,32.0
299,industrie manufacturière autres industries manufacturières activités manufacturières n.c.a. fabrication d'articles de brosserie fabrication d'articles de brosserie,32.91Z,32.91,32.9,32.0
300,industrie manufacturière autres industries manufacturières activités manufacturières n.c.a. autres activités manufacturières n.c.a. autres activités manufacturières n.c.a.,32.99Z,32.99,32.9,32.0
301,"industrie manufacturière réparation et installation de machines et d'équipements réparation d'ouvrages en métaux, de machines et d'équipements réparation d'ouvrages en métaux réparation d'ouvrages en métaux",33.11Z,33.11,33.1,33.0
302,"industrie manufacturière réparation et installation de machines et d'équipements réparation d'ouvrages en métaux, de machines et d'équipements réparation de machines et équipements mécaniques réparation de machines et équipements mécaniques",33.12Z,33.12,33.1,33.0
303,"industrie manufacturière réparation et installation de machines et d'équipements réparation d'ouvrages en métaux, de machines et d'équipements réparation de matériels électroniques et optiques réparation de matériels électroniques et optiques",33.13Z,33.13,33.1,33.0
304,"industrie manufacturière réparation et installation de machines et d'équipements réparation d'ouvrages en métaux, de machines et d'équipements réparation d'équipements électriques réparation d'équipements électriques",33.14Z,33.14,33.1,33.0
305,"industrie manufacturière réparation et installation de machines et d'équipements réparation d'ouvrages en métaux, de machines et d'équipements réparation et maintenance navale réparation et maintenance navale",33.15Z,33.15,33.1,33.0
306,"industrie manufacturière réparation et installation de machines et d'équipements réparation d'ouvrages en métaux, de machines et d'équipements réparation et maintenance d'aéronefs et d'engins spatiaux réparation et maintenance d'aéronefs et d'engins spatiaux",33.16Z,33.16,33.1,33.0
307,"industrie manufacturière réparation et installation de machines et d'équipements réparation d'ouvrages en métaux, de machines et d'équipements réparation et maintenance d'autres équipements de transport réparation et maintenance d'autres équipements de transport",33.17Z,33.17,33.1,33.0
308,"industrie manufacturière réparation et installation de machines et d'équipements réparation d'ouvrages en métaux, de machines et d'équipements réparation d'autres équipements réparation d'autres équipements",33.19Z,33.19,33.1,33.0
309,"industrie manufacturière réparation et installation de machines et d'équipements installation de machines et d'équipements industriels installation de machines et d'équipements industriels installation de structures métalliques, chaudronnées et de tuyauterie",33.20A,33.2,33.2,33.0
310,industrie manufacturière réparation et installation de machines et d'équipements installation de machines et d'équipements industriels installation de machines et d'équipements industriels installation de machines et équipements mécaniques,33.20B,33.2,33.2,33.0
311,industrie manufacturière réparation et installation de machines et d'équipements installation de machines et d'équipements industriels installation de machines et d'équipements industriels conception d'ensemble et assemblage sur site industriel d'équipements de contrôle des processus industriels,33.20C,33.2,33.2,33.0
312,"industrie manufacturière réparation et installation de machines et d'équipements installation de machines et d'équipements industriels installation de machines et d'équipements industriels installation d'équipements électriques, de matériels électroniques et optiques ou d'autres matériels",33.20D,33.2,33.2,33.0
313,"production et distribution d'électricité, de gaz, de vapeur et d'air conditionné production et distribution d'électricité, de gaz, de vapeur et d'air conditionné production, transport et distribution d'électricité production d'électricité production d'électricité",35.11Z,35.11,35.1,35.0
314,"production et distribution d'électricité, de gaz, de vapeur et d'air conditionné production et distribution d'électricité, de gaz, de vapeur et d'air conditionné production, transport et distribution d'électricité transport d'électricité transport d'électricité",35.12Z,35.12,35.1,35.0
315,"production et distribution d'électricité, de gaz, de vapeur et d'air conditionné production et distribution d'électricité, de gaz, de vapeur et d'air conditionné production, transport et distribution d'électricité distribution d'électricité distribution d'électricité",35.13Z,35.13,35.1,35.0
316,"production et distribution d'électricité, de gaz, de vapeur et d'air conditionné production et distribution d'électricité, de gaz, de vapeur et d'air conditionné production, transport et distribution d'électricité commerce d'électricité commerce d'électricité",35.14Z,35.14,35.1,35.0
317,"production et distribution d'électricité, de gaz, de vapeur et d'air conditionné production et distribution d'électricité, de gaz, de vapeur et d'air conditionné production et distribution de combustibles gazeux production de combustibles gazeux production de combustibles gazeux",35.21Z,35.21,35.2,35.0
318,"production et distribution d'électricité, de gaz, de vapeur et d'air conditionné production et distribution d'électricité, de gaz, de vapeur et d'air conditionné production et distribution de combustibles gazeux distribution de combustibles gazeux par conduites distribution de combustibles gazeux par conduites",35.22Z,35.22,35.2,35.0
319,"production et distribution d'électricité, de gaz, de vapeur et d'air conditionné production et distribution d'électricité, de gaz, de vapeur et d'air conditionné production et distribution de combustibles gazeux commerce de combustibles gazeux par conduites commerce de combustibles gazeux par conduites",35.23Z,35.23,35.2,35.0
320,"production et distribution d'électricité, de gaz, de vapeur et d'air conditionné production et distribution d'électricité, de gaz, de vapeur et d'air conditionné production et distribution de vapeur et d'air conditionné production et distribution de vapeur et d'air conditionné production et distribution de vapeur et d'air conditionné",35.30Z,35.3,35.3,35.0
321,"production et distribution d'eau ; assainissement, gestion des déchets et dépollution captage, traitement et distribution d'eau captage, traitement et distribution d'eau captage, traitement et distribution d'eau captage, traitement et distribution d'eau",36.00Z,36.0,36.0,36.0
322,"production et distribution d'eau ; assainissement, gestion des déchets et dépollution collecte et traitement des eaux usées collecte et traitement des eaux usées collecte et traitement des eaux usées collecte et traitement des eaux usées",37.00Z,37.0,37.0,37.0
323,"production et distribution d'eau ; assainissement, gestion des déchets et dépollution collecte, traitement et élimination des déchets ; récupération collecte des déchets collecte des déchets non dangereux collecte des déchets non dangereux",38.11Z,38.11,38.1,38.0
324,"production et distribution d'eau ; assainissement, gestion des déchets et dépollution collecte, traitement et élimination des déchets ; récupération collecte des déchets collecte des déchets dangereux collecte des déchets dangereux",38.12Z,38.12,38.1,38.0
325,"production et distribution d'eau ; assainissement, gestion des déchets et dépollution collecte, traitement et élimination des déchets ; récupération traitement et élimination des déchets traitement et élimination des déchets non dangereux traitement et élimination des déchets non dangereux",38.21Z,38.21,38.2,38.0
326,"production et distribution d'eau ; assainissement, gestion des déchets et dépollution collecte, traitement et élimination des déchets ; récupération traitement et élimination des déchets traitement et élimination des déchets dangereux traitement et élimination des déchets dangereux",38.22Z,38.22,38.2,38.0
327,"production et distribution d'eau ; assainissement, gestion des déchets et dépollution collecte, traitement et élimination des déchets ; récupération récupération démantèlement d'épaves démantèlement d'épaves",38.31Z,38.31,38.3,38.0
328,"production et distribution d'eau ; assainissement, gestion des déchets et dépollution collecte, traitement et élimination des déchets ; récupération récupération récupération de déchets triés récupération de déchets triés",38.32Z,38.32,38.3,38.0
329,"production et distribution d'eau ; assainissement, gestion des déchets et dépollution dépollution et autres services de gestion des déchets dépollution et autres services de gestion des déchets dépollution et autres services de gestion des déchets dépollution et autres services de gestion des déchets",39.00Z,39.0,39.0,39.0
330,construction construction de bâtiments promotion immobilière promotion immobilière promotion immobilière de logements,41.10A,41.1,41.1,41.0
331,construction construction de bâtiments promotion immobilière promotion immobilière promotion immobilière de bureaux,41.10B,41.1,41.1,41.0
332,construction construction de bâtiments promotion immobilière promotion immobilière promotion immobilière d'autres bâtiments,41.10C,41.1,41.1,41.0
333,construction construction de bâtiments promotion immobilière promotion immobilière supports juridiques de programmes,41.10D,41.1,41.1,41.0
334,construction construction de bâtiments construction de bâtiments résidentiels et non résidentiels construction de bâtiments résidentiels et non résidentiels construction de maisons individuelles,41.20A,41.2,41.2,41.0
335,construction construction de bâtiments construction de bâtiments résidentiels et non résidentiels construction de bâtiments résidentiels et non résidentiels construction d'autres bâtiments,41.20B,41.2,41.2,41.0
336,construction génie civil construction de routes et de voies ferrées construction de routes et autoroutes construction de routes et autoroutes,42.11Z,42.11,42.1,42.0
337,construction génie civil construction de routes et de voies ferrées construction de voies ferrées de surface et souterraines construction de voies ferrées de surface et souterraines,42.12Z,42.12,42.1,42.0
338,construction génie civil construction de routes et de voies ferrées construction de ponts et tunnels construction d'ouvrages d'art,42.13A,42.13,42.1,42.0
339,construction génie civil construction de routes et de voies ferrées construction de ponts et tunnels construction et entretien de tunnels,42.13B,42.13,42.1,42.0
340,construction génie civil construction de réseaux et de lignes construction de réseaux pour fluides construction de réseaux pour fluides,42.21Z,42.21,42.2,42.0
341,construction génie civil construction de réseaux et de lignes construction de réseaux électriques et de télécommunications construction de réseaux électriques et de télécommunications,42.22Z,42.22,42.2,42.0
342,construction génie civil construction d'autres ouvrages de génie civil construction d'ouvrages maritimes et fluviaux construction d'ouvrages maritimes et fluviaux,42.91Z,42.91,42.9,42.0
343,construction génie civil construction d'autres ouvrages de génie civil construction d'autres ouvrages de génie civil n.c.a. construction d'autres ouvrages de génie civil n.c.a.,42.99Z,42.99,42.9,42.0
344,construction travaux de construction spécialisés démolition et préparation des sites travaux de démolition travaux de démolition,43.11Z,43.11,43.1,43.0
345,construction travaux de construction spécialisés démolition et préparation des sites travaux de préparation des sites travaux de terrassement courants et travaux préparatoires,43.12A,43.12,43.1,43.0
346,construction travaux de construction spécialisés démolition et préparation des sites travaux de préparation des sites travaux de terrassement spécialisés ou de grande masse,43.12B,43.12,43.1,43.0
347,construction travaux de construction spécialisés démolition et préparation des sites forages et sondages forages et sondages,43.13Z,43.13,43.1,43.0
348,"construction travaux de construction spécialisés travaux d'installation électrique, plomberie et autres travaux d'installation installation électrique travaux d'installation électrique dans tous locaux",43.21A,43.21,43.2,43.0
349,"construction travaux de construction spécialisés travaux d'installation électrique, plomberie et autres travaux d'installation installation électrique travaux d'installation électrique sur la voie publique",43.21B,43.21,43.2,43.0
350,"construction travaux de construction spécialisés travaux d'installation électrique, plomberie et autres travaux d'installation travaux de plomberie et installation de chauffage et de conditionnement d'air travaux d'installation d'eau et de gaz en tous locaux",43.22A,43.22,43.2,43.0
351,"construction travaux de construction spécialisés travaux d'installation électrique, plomberie et autres travaux d'installation travaux de plomberie et installation de chauffage et de conditionnement d'air travaux d'installation d'équipements thermiques et de climatisation",43.22B,43.22,43.2,43.0
352,"construction travaux de construction spécialisés travaux d'installation électrique, plomberie et autres travaux d'installation autres travaux d'installation travaux d'isolation",43.29A,43.29,43.2,43.0
353,"construction travaux de construction spécialisés travaux d'installation électrique, plomberie et autres travaux d'installation autres travaux d'installation autres travaux d'installation n.c.a.",43.29B,43.29,43.2,43.0
354,construction travaux de construction spécialisés travaux de finition travaux de plâtrerie travaux de plâtrerie,43.31Z,43.31,43.3,43.0
355,construction travaux de construction spécialisés travaux de finition travaux de menuiserie travaux de menuiserie bois et pvc,43.32A,43.32,43.3,43.0
356,construction travaux de construction spécialisés travaux de finition travaux de menuiserie travaux de menuiserie métallique et serrurerie,43.32B,43.32,43.3,43.0
357,construction travaux de construction spécialisés travaux de finition travaux de menuiserie agencement de lieux de vente,43.32C,43.32,43.3,43.0
358,construction travaux de construction spécialisés travaux de finition travaux de revêtement des sols et des murs travaux de revêtement des sols et des murs,43.33Z,43.33,43.3,43.0
359,construction travaux de construction spécialisés travaux de finition travaux de peinture et vitrerie travaux de peinture et vitrerie,43.34Z,43.34,43.3,43.0
360,construction travaux de construction spécialisés travaux de finition autres travaux de finition autres travaux de finition,43.39Z,43.39,43.3,43.0
361,construction travaux de construction spécialisés autres travaux de construction spécialisés travaux de couverture travaux de charpente,43.91A,43.91,43.9,43.0
362,construction travaux de construction spécialisés autres travaux de construction spécialisés travaux de couverture travaux de couverture par éléments,43.91B,43.91,43.9,43.0
363,construction travaux de construction spécialisés autres travaux de construction spécialisés autres travaux de construction spécialisés n.c.a. travaux d'étanchéification,43.99A,43.99,43.9,43.0
364,construction travaux de construction spécialisés autres travaux de construction spécialisés autres travaux de construction spécialisés n.c.a. travaux de montage de structures métalliques,43.99B,43.99,43.9,43.0
365,construction travaux de construction spécialisés autres travaux de construction spécialisés autres travaux de construction spécialisés n.c.a. travaux de maçonnerie générale et gros œuvre de bâtiment,43.99C,43.99,43.9,43.0
